uid;____;______ _____;______ ____;_____ _____;_____ ____
10Ê016Ê387;12.11.2011 16:50;_____;370;______ _____ 500;500
10Ê014Ê522;20.11.2011 14:28;_______ ______;490;______ _____ 500;500
10Ê016Ê387;01.12.2011 0:05;______ _____ 500;500;_____;370
10Ê005Ê876;09.12.2011 10:00;_______ ______;490;______ _____ 500;500
10Ê026Ê188;11.12.2011 16:32;______ _____ 600;600;______ _____ 700;700
10Ê111Ê344;17.09.2014 9:16;_______+;500;___ _________;0
10Ê164Ê407;28.09.2015 17:26;___ _________;0;________ 2015;399
10Ê173Ê532;29.12.2016 8:07;________ 200 ____;449;________ 2015;399
10Ê044Ê865;05.05.2014 11:30;___ _________;0;______ _____ 500 _________;380
10Ê176Ê340;30.05.2016 15:44;________ 2015;399;___________ 50;250
10Ê169Ê514;23.12.2015 17:10;___ _________;0;________ 1 ____;800
10Ê023Ê910;01.01.2012 0:05;____-_____ _____ 444;444;_____;370
10Ê024Ê430;18.09.2014 9:31;___ _________;0;________;400
10Ê134Ê388;06.04.2014 11:07;___ _________;0;_______;300
10Ê140Ê513;09.09.2014 8:26;_______;300;___ _________;0
10Ê110Ê772;02.10.2014 9:12;_______;300;___ _________;0
10Ê068Ê968;12.07.2012 9:03;______ _____ 500;500;______ _____ 500 _________;380
10Ê032Ê013;23.01.2016 9:07;___ _________;0;________ 2015;399
10Ê068Ê968;07.10.2014 9:01;______ _____ 500 _________;380;________;400
10Ê117Ê429;12.10.2014 11:46;___ _________;0;________;400
10Ê173Ê123;19.03.2016 10:20;___ _________;0;________ 2015;399
10Ê064Ê898;01.02.2012 10:11;______ _____ 600;600;______ _____ 700;700
10Ê028Ê299;20.02.2012 14:38;__ _____ 10;300;__ _____ 20;600
10Ê176Ê340;17.11.2016 8:07;___________ 50;250;_____ ______ 50;300
10Ê013Ê390;26.10.2014 12:13;______ _____ 500 _________;380;________;400
10Ê064Ê898;05.03.2012 16:41;______ _____ 700;700;______ _____ 800;800
10Ê071Ê924;20.03.2012 23:49;__ _____ 10;300;______ _____ 600;600
10Ê026Ê802;21.03.2012 12:31;______ _____ 500;500;______ _____ 600;600
10Ê002Ê187;26.05.2012 3:27;______ _____ 600;600;______ _____ 600 _________;480
10Ê178Ê330;21.06.2016 10:53;___ _________;0;________ 2015;399
10Ê026Ê037;01.04.2012 0:05;______ _____ 700;700;______ _____ 500;500
10Ê186Ê009;12.12.2016 11:11;___ _________;0;________ 2015;399
10Ê139Ê243;01.10.2014 9:43;______ _____ 500 _________;380;___ _________;0
10Ê068Ê713;01.04.2012 0:05;______ _____ 600;600;______ _____ 500;500
10Ê092Ê666;04.09.2014 10:14;_______;300;___ _________;0
10Ê026Ê394;10.09.2013 15:43;______ _____ 500 _________;380;______ _____ 600 _________;480
